School,Borough,Tested,Passed,8th graders,7,Gain/Loss,% Tested,% Passed,% Passed Overall,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index
Eagle Academy for Young Men,Bronx,7,s,59,4,,11.9,,,0.6,55.0,42.7,0.4,27.0,5.1,78.3,77.9%
I.S. 232,Bronx,41,s,172,12,,23.8,,,0.8,18.6,79.7,0.8,23.0,39.1,96.3,93.1%
Urban Assembly School for Applied Math and Science,Bronx,13,s,83,6,,15.7,,,0.2,32.8,65.6,0.6,29.1,13.5,93.5,89.7%
I.S. X303 Leadership & Community Service,Bronx,16,s,131,9,,12.2,,,0.9,25.9,71.4,0.9,32.8,12.0,99.4,92.5%
I.S. 313 School of Leadership Development,Bronx,9,s,106,7,,8.5,,,0.6,29.5,68.9,1.0,24.1,32.4,92.4,95.3%
Bronx Writing Academy,Bronx,29,s,159,11,,18.2,,,1.6,32.0,63.9,1.4,25.1,28.8,95.0,94.0%
Bronx Early College Academy for Teaching & Learnin,Bronx,13,s,65,5,,20.0,,,2.9,26.4,68.4,1.5,19.0,12.1,87.9,88.4%
Urban Science Academy,Bronx,16,s,115,8,,13.9,,,0.6,30.6,67.5,1.3,24.6,33.8,87.4,93.9%
Comprehensive Model School Project M.S. 327,Bronx,15,s,98,7,,15.3,,,0.3,21.0,77.2,1.2,24.8,11.9,91.0,89.4%
New Millennium Business Academy Middle School,Bronx,21,s,73,5,,28.8,,,0.0,32.6,66.1,0.8,28.5,33.9,85.5,91.4%
I.S. 339,Bronx,27,s,169,12,,16.0,,,1.7,29.3,68.0,0.6,26.9,29.3,91.3,94.6%
The Highbridge Green School,Bronx,18,s,132,9,,13.6,,,0.5,23.9,73.6,1.0,25.9,21.7,97.2,91.8%
Bronx High School for Medical Science,Bronx,10,s,48,3,,20.8,,,7.6,28.2,61.7,1.2,19.9,12.7,83.4,90.4%
Science and Technology Academy: A Mott Hall School,Bronx,35,s,155,11,,22.6,,,2.9,28.9,68.0,0.2,20.6,18.3,91.7,86.5%
"Bronx School for Law, Government and Justice",Bronx,13,s,89,6,,14.6,,,1.2,24.6,71.3,0.9,21.0,10.4,89.9,87.0%
Young Women's Leadership School of the Bronx,Bronx,30,s,76,5,,39.5,,,2.6,36.6,58.3,1.1,19.6,6.0,86.2,82.2%
P.S. 3 Raul Julia Micro Society,Bronx,13,s,49,3,,26.5,,,0.9,29.0,69.8,0.3,19.8,12.9,94.5,91.5%
P.S. X015 Institute for Environmental Learning,Bronx,27,s,56,4,,48.2,,,1.0,11.5,86.3,0.2,20.0,9.8,79.0,87.5%
"P.S./M.S. 20 P.O.George J. Werdann, III",Bronx,42,s,119,8,,35.3,,,9.2,10.9,72.4,5.4,24.5,24.2,94.8,87.2%
P.S. X037 - Multiple Intelligence School,Bronx,6,s,70,5,,8.6,,,2.0,21.5,73.2,1.9,27.6,15.3,85.3,86.5%
Thomas C. Giordano Middle School 45,Bronx,46,s,257,18,,17.9,,,2.0,15.6,77.2,4.4,18.5,20.1,97.0,93.6%
J.H.S. 080 The Mosholu Parkway,Bronx,51,s,231,16,,22.1,,,12.7,12.9,68.6,4.9,22.7,33.6,90.6,88.7%
P.S. 095 Sheila Mencher,Bronx,42,s,160,11,,26.3,,,6.2,17.0,70.1,4.7,19.5,17.8,81.2,85.4%
I.S. 206 Ann Mersereau,Bronx,8,s,69,5,,11.6,,,1.9,13.0,83.6,0.5,32.4,31.9,90.3,94.9%
Theatre Arts Production Company School,Bronx,6,s,51,4,,11.8,,,1.3,26.5,69.1,1.6,23.2,7.7,79.8,87.5%
Jonas Bronck Academy,Bronx,64,s,90,6,,71.1,,,6.7,13.8,75.0,2.2,18.3,5.6,89.6,83.6%
West Bronx Academy for the Future,Bronx,18,s,95,7,,18.9,,,1.8,18.1,77.8,1.6,26.0,12.4,94.6,89.8%
The New School for Leadership and Journalism,Bronx,91,s,269,19,,33.8,,,4.1,12.3,80.2,2.4,22.1,21.4,96.8,87.9%
I.S. 254,Bronx,13,s,141,10,,9.2,,,2.1,17.5,78.9,0.9,27.5,34.1,88.7,93.2%
"P.S. 279 Captain Manuel Rivera, Jr.",Bronx,38,s,139,10,,27.3,,,3.8,16.1,78.9,0.5,19.7,29.9,94.2,95.2%
P.S./M.S. 280 Mosholu Parkway,Bronx,41,s,101,7,,40.6,,,10.4,7.9,75.1,5.9,28.0,16.8,95.9,87.7%
Bronx Dance Academy School,Bronx,19,s,80,6,,23.8,,,1.5,22.3,75.5,0.7,23.8,4.8,92.9,87.2%
P.S. 315 Lab School,Bronx,12,s,30,2,,40.0,,,1.2,13.3,84.3,0.4,21.3,15.7,97.6,93.6%
The Bronx School of Young Leaders,Bronx,35,s,127,9,,27.6,,,1.7,25.4,72.9,0.0,23.2,19.6,87.8,94.3%
International School for Liberal Arts,Bronx,s,s,51,4,,#VALUE!,,,0.2,0.4,99.2,0.2,7.1,66.5,97.5,95.8%
Academy For Personal Leadership And Excellence,Bronx,45,s,180,13,,25.0,,,1.6,10.2,86.7,0.9,25.5,33.6,89.0,91.0%
In-Tech Academy (M.S. / High School 368),Bronx,27,s,155,11,,17.4,,,4.1,8.8,81.6,4.0,20.7,16.6,86.3,81.0%
M.S. 390,Bronx,24,s,164,11,,14.6,,,0.6,12.8,86.5,0.2,25.0,29.7,98.1,95.0%
The Angelo Patri Middle School,Bronx,17,s,189,13,,9.0,,,1.5,21.9,74.3,1.3,27.0,36.0,91.9,95.3%
Creston Academy,Bronx,29,s,157,11,,18.5,,,1.5,9.8,86.5,1.3,18.3,35.0,91.7,94.6%
East Fordham Academy for the Arts,Bronx,10,s,100,7,,10.0,,,1.8,12.9,81.3,1.1,27.7,30.9,92.1,95.3%
P.S. 019 Judith K. Weiss,Bronx,24,s,46,3,,52.2,,,2.9,6.8,28.0,60.1,16.0,9.4,59.7,42.9%
P.S. 089 Bronx,Bronx,25,s,158,11,,15.8,,,9.2,18.9,54.5,15.9,17.1,20.8,77.1,83.3%
J.H.S. 144 Michelangelo,Bronx,42,s,177,12,,23.7,,,2.8,60.2,32.5,4.1,27.6,10.6,76.0,76.5%
